epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,256.644,0.75087,0.68128,0.95316,0.95794,0.98172,0.98435,0.87498,0.51315,0.31654,0.82662,0.00993151,0.0033105,0.00993151,0.0033105,0.00993151,0.0033105,0.00993151,0.0033105
2,469.293,0.7397,0.65218,0.94383,0.94944,0.98214,0.98249,0.83427,0.63141,0.34881,0.85769,0.0197342,0.00657806,0.0197342,0.00657806,0.0197342,0.00657806,0.0197342,0.00657806
3,683.558,0.78581,0.69331,0.95952,0.94001,0.96412,0.97815,0.81755,0.66686,0.40671,0.87128,0.0293389,0.00977962,0.0293389,0.00977962,0.0293389,0.00977962,0.0293389,0.00977962
4,890.151,0.81817,0.74141,0.96836,0.94895,0.97382,0.98068,0.79369,0.75608,0.40717,0.89956,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1097.49,0.81169,0.73333,0.96815,0.92456,0.94535,0.97239,0.72213,0.95382,0.49118,0.97242,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1308.15,0.81673,0.74142,0.96785,0.93112,0.97394,0.9767,0.7656,0.83239,0.444,0.92832,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1512.16,0.81732,0.73603,0.97,0.94511,0.95683,0.97658,0.79963,0.71331,0.42984,0.88901,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1718.55,0.81093,0.73653,0.96678,0.93387,0.97051,0.97802,0.80282,0.71273,0.41541,0.88723,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1923.55,0.80869,0.73367,0.969,0.93389,0.9798,0.97852,0.77181,0.78931,0.42492,0.91562,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2128.15,0.80221,0.73052,0.96374,0.92863,0.97437,0.97407,0.8337,0.61611,0.41284,0.85834,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2331.97,0.79725,0.72029,0.96186,0.93755,0.97341,0.97745,0.82198,0.6567,0.40206,0.87127,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2537.82,0.79324,0.71662,0.96007,0.93008,0.96748,0.976,0.78727,0.74155,0.43007,0.90078,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2745.02,0.78971,0.71354,0.95818,0.93185,0.97858,0.97853,0.80762,0.6995,0.41063,0.88421,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2958.97,0.78462,0.71071,0.95686,0.94593,0.97927,0.98083,0.82792,0.64229,0.38443,0.86639,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,3167.52,0.78172,0.70613,0.95672,0.94638,0.98173,0.98096,0.8406,0.60825,0.37264,0.85532,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,3375.06,0.77461,0.69839,0.95292,0.93973,0.98345,0.97823,0.81668,0.68135,0.39058,0.87446,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3582.7,0.77201,0.69874,0.95157,0.93936,0.97628,0.97777,0.832,0.63001,0.39568,0.86256,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3790.41,0.77242,0.69187,0.95206,0.92965,0.97496,0.97489,0.83153,0.61452,0.39437,0.86045,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3998.36,0.76818,0.689,0.94866,0.95619,0.97446,0.98287,0.8416,0.61415,0.36815,0.85859,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,4205.26,0.76258,0.68756,0.94745,0.94238,0.95679,0.97754,0.81534,0.6785,0.40491,0.87527,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,4412.75,0.76342,0.68745,0.94841,0.9406,0.98925,0.9795,0.84066,0.59997,0.36378,0.85226,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,4620.16,0.75918,0.67872,0.94491,0.94711,0.97915,0.98186,0.84201,0.60898,0.36823,0.85463,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
