epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,198.707,1.39444,3.5254,1.1467,0.33622,0.57638,0.38337,0.24173,1.17764,1.91642,1.01803,0.00995434,0.00331811,0.00995434,0.00331811,0.00995434,0.00331811,0.00995434,0.00331811
2,390.48,1.29764,2.21868,1.11912,0.47454,0.66091,0.55816,0.35226,1.15595,1.66172,1.02763,0.0195592,0.00651975,0.0195592,0.00651975,0.0195592,0.00651975,0.0195592,0.00651975
3,581.241,1.29931,1.92421,1.13102,0.37074,0.47968,0.39537,0.22253,1.42002,2.10394,1.20619,0.0287681,0.00958938,0.0287681,0.00958938,0.0287681,0.00958938,0.0287681,0.00958938
4,770.996,1.24761,1.65393,1.14038,0.67457,0.79347,0.77683,0.41756,1.44529,1.32211,1.20386,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,960.368,1.17927,1.35682,1.11838,0.74594,0.82412,0.8396,0.51883,1.21691,1.04964,1.09469,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1159.83,1.13025,1.19787,1.09853,0.81294,0.83073,0.88706,0.64513,0.98711,0.94895,0.99693,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1360.66,1.08683,1.08945,1.07947,0.85088,0.92051,0.93398,0.63135,1.15211,0.76563,1.05133,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1560.24,1.02367,1.01057,1.06096,0.88734,0.93802,0.95477,0.72144,0.90255,0.6477,0.95973,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1759.58,0.97276,0.94805,1.03769,0.88741,0.93987,0.96016,0.66173,1.0812,0.64959,1.02823,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1956.56,0.93193,0.88749,1.02143,0.90358,0.94691,0.96358,0.71951,0.92334,0.58614,0.97028,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2154.29,0.90932,0.85886,1.01302,0.91272,0.95173,0.96504,0.69932,1.00954,0.57654,0.99246,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,2354.23,0.89001,0.82669,1.00294,0.90413,0.95914,0.96697,0.74664,0.86329,0.5422,0.93965,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,2551.69,0.87219,0.80675,0.99753,0.92217,0.97521,0.97322,0.71316,0.98185,0.51907,0.98752,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,2751.96,0.85782,0.77788,0.99166,0.91958,0.96429,0.97126,0.77772,0.77436,0.48456,0.90645,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,2966.23,0.84275,0.75734,0.98209,0.93798,0.96255,0.97439,0.78697,0.7519,0.47731,0.90545,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,3209.32,0.827,0.74161,0.97583,0.93641,0.9711,0.97514,0.7459,0.88152,0.47698,0.93807,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,3406,0.82485,0.73908,0.97339,0.93896,0.9765,0.97842,0.76324,0.83977,0.45099,0.93248,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,3601.09,0.80279,0.70861,0.96604,0.94335,0.96691,0.97887,0.79957,0.72824,0.44707,0.8919,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,3794.46,0.79622,0.70479,0.9668,0.93215,0.98183,0.97638,0.81974,0.6613,0.41928,0.87309,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,3988.06,0.79258,0.69727,0.96269,0.93671,0.96867,0.97577,0.78909,0.75918,0.43626,0.89849,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,4181.46,0.78066,0.68713,0.95723,0.93987,0.98535,0.97846,0.82855,0.64415,0.39556,0.86704,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,4375.89,0.76996,0.6736,0.9515,0.95092,0.97552,0.98092,0.79982,0.74315,0.40553,0.89188,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,4564.54,0.76134,0.66526,0.94969,0.93466,0.98479,0.97842,0.8326,0.62902,0.39305,0.86428,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
