epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.712,1.58325,1.56489,1.10806,0.90472,0.92833,0.96508,0.72248,0.91522,0.53307,0.81554,5.85818e-05,5.85818e-05,5.85818e-05
2,168.636,1.02435,1.0993,0.89396,0.90947,0.93912,0.96796,0.76873,0.73583,0.48473,0.79871,0.000115907,0.000115907,0.000115907
3,251.509,0.94141,0.99653,0.87162,0.9165,0.94698,0.97037,0.78961,0.69547,0.4688,0.79602,0.00017087,0.00017087,0.00017087
4,330.577,0.90643,0.957,0.86386,0.91701,0.95133,0.97211,0.80047,0.67254,0.45678,0.79392,0.000168367,0.000168367,0.000168367
5,409.413,0.89686,0.9423,0.86095,0.91921,0.95207,0.97255,0.79392,0.68153,0.4541,0.79415,0.000164823,0.000164823,0.000164823
6,487.744,0.88337,0.92447,0.85836,0.92435,0.94937,0.97405,0.80098,0.67316,0.45177,0.79319,0.000161279,0.000161279,0.000161279
7,565.754,0.8675,0.89977,0.85469,0.92291,0.95762,0.97437,0.8279,0.60531,0.4336,0.78835,0.000157735,0.000157735,0.000157735
8,644.391,0.86126,0.89808,0.857,0.92867,0.95079,0.97506,0.82199,0.61946,0.43255,0.78972,0.000154191,0.000154191,0.000154191
9,722.638,0.85528,0.88345,0.85254,0.92455,0.95548,0.97444,0.81964,0.6214,0.43285,0.78966,0.000150646,0.000150646,0.000150646
10,801.627,0.85176,0.87993,0.85493,0.93048,0.95506,0.976,0.82469,0.6162,0.42571,0.78933,0.000147102,0.000147102,0.000147102
11,880.572,0.8464,0.86671,0.8536,0.93179,0.95596,0.97624,0.81703,0.64468,0.43472,0.79145,0.000143558,0.000143558,0.000143558
12,959.818,0.84509,0.86914,0.85215,0.9291,0.95752,0.97596,0.83157,0.59433,0.42053,0.7876,0.000140014,0.000140014,0.000140014
13,1038.04,0.83087,0.85174,0.84978,0.92928,0.95764,0.97552,0.82406,0.61743,0.4245,0.78961,0.00013647,0.00013647,0.00013647
14,1116.43,0.8319,0.85328,0.84895,0.92567,0.95978,0.97538,0.826,0.61266,0.42426,0.7891,0.000132925,0.000132925,0.000132925
15,1195.84,0.83333,0.85713,0.84917,0.92993,0.95759,0.97626,0.82744,0.61305,0.42229,0.78904,0.000129381,0.000129381,0.000129381
16,1274.91,0.82926,0.85585,0.84958,0.9312,0.95828,0.97627,0.83427,0.59115,0.41503,0.78741,0.000125837,0.000125837,0.000125837
17,1353.53,0.8239,0.84229,0.84799,0.92889,0.95821,0.97559,0.8237,0.61973,0.42209,0.78981,0.000122293,0.000122293,0.000122293
18,1432.24,0.81415,0.8321,0.84846,0.92618,0.96253,0.97562,0.82748,0.61022,0.41861,0.78926,0.000118749,0.000118749,0.000118749
19,1510.58,0.82048,0.84206,0.84726,0.92835,0.96215,0.97624,0.83168,0.60096,0.41644,0.78837,0.000115204,0.000115204,0.000115204
20,1589.59,0.81696,0.83297,0.84759,0.92479,0.96354,0.97542,0.82718,0.60839,0.4186,0.78908,0.00011166,0.00011166,0.00011166
21,1668.69,0.81357,0.83314,0.84702,0.92544,0.96254,0.97502,0.83261,0.59159,0.41501,0.78779,0.000108116,0.000108116,0.000108116
